wrote /Users/anthonymccrovitz/march-madness/overlay/src/data/customer_feed.json — 2 picks for 2026-05-20 (nba=2, mlb=0)
wrote /Users/anthonymccrovitz/march-madness/overlay/src/data/customer_feed.json — 6 picks for 2026-05-21 (nba=1, mlb=5)
wrote /Users/anthonymccrovitz/march-madness/overlay/src/data/customer_feed.json — 6 picks for 2026-05-21 (nba=1, mlb=5)
wrote /Users/anthonymccrovitz/march-madness/overlay/src/data/customer_feed.json — 0 picks for 2026-05-22 (nba=0, mlb=0)
wrote /Users/anthonymccrovitz/march-madness/overlay/src/data/customer_feed.json — 0 picks for 2026-05-22 (nba=0, mlb=0)
wrote /Users/anthonymccrovitz/march-madness/overlay/src/data/customer_feed.json — 13 picks for 2026-05-22 (nba=1, mlb=12)
wrote /Users/anthonymccrovitz/march-madness/overlay/src/data/customer_feed.json — 13 picks for 2026-05-22 (nba=1, mlb=12)
wrote /Users/anthonymccrovitz/march-madness/overlay/src/data/customer_feed.json — 13 picks for 2026-05-22 (nba=1, mlb=12)
wrote /Users/anthonymccrovitz/march-madness/overlay/src/data/customer_feed.json — 13 picks for 2026-05-22 (nba=1, mlb=12)
wrote /Users/anthonymccrovitz/march-madness/overlay/src/data/customer_feed.json — 13 picks for 2026-05-22 (nba=1, mlb=12)
wrote /Users/anthonymccrovitz/march-madness/overlay/src/data/customer_feed.json — 0 picks for 2026-05-23 (nba=0, mlb=0)
wrote /Users/anthonymccrovitz/march-madness/overlay/src/data/customer_feed.json — 13 picks for 2026-05-23 (nba=1, mlb=12)
wrote /Users/anthonymccrovitz/march-madness/overlay/src/data/customer_feed.json — 0 picks for 2026-05-25 (nba=0, mlb=0)
wrote /Users/anthonymccrovitz/march-madness/overlay/src/data/customer_feed.json — 0 picks for 2026-05-25 (nba=0, mlb=0)
wrote /Users/anthonymccrovitz/march-madness/overlay/src/data/customer_feed.json — 6 picks for 2026-05-25 (nba=1, mlb=5)
wrote /Users/anthonymccrovitz/march-madness/overlay/src/data/customer_feed.json — 6 picks for 2026-05-25 (nba=1, mlb=5)
wrote /Users/anthonymccrovitz/march-madness/overlay/src/data/customer_feed.json — 6 picks for 2026-05-25 (nba=1, mlb=5)
wrote /Users/anthonymccrovitz/march-madness/overlay/src/data/customer_feed.json — 6 picks for 2026-05-25 (nba=1, mlb=5)
wrote /Users/anthonymccrovitz/march-madness/overlay/src/data/customer_feed.json — 6 picks for 2026-05-25 (nba=1, mlb=5)
wrote /Users/anthonymccrovitz/march-madness/overlay/src/data/customer_feed.json — 6 picks for 2026-05-25 (nba=1, mlb=5)
wrote /Users/anthonymccrovitz/march-madness/overlay/src/data/customer_feed.json — 6 picks for 2026-05-25 (nba=1, mlb=5)
wrote /Users/anthonymccrovitz/march-madness/overlay/src/data/customer_feed.json — 18 picks for 2026-05-26 (nba=1, mlb=17)
wrote /Users/anthonymccrovitz/march-madness/overlay/src/data/customer_feed.json — 18 picks for 2026-05-26 (nba=1, mlb=17)
wrote /Users/anthonymccrovitz/march-madness/overlay/src/data/customer_feed.json — 18 picks for 2026-05-26 (nba=1, mlb=17)
wrote /Users/anthonymccrovitz/march-madness/overlay/src/data/customer_feed.json — 18 picks for 2026-05-26 (nba=1, mlb=17)
wrote /Users/anthonymccrovitz/march-madness/overlay/src/data/customer_feed.json — 18 picks for 2026-05-26 (nba=1, mlb=17)
wrote /Users/anthonymccrovitz/march-madness/overlay/src/data/customer_feed.json — 18 picks for 2026-05-26 (nba=1, mlb=17)
wrote /Users/anthonymccrovitz/march-madness/overlay/src/data/customer_feed.json — 18 picks for 2026-05-26 (nba=1, mlb=17)
wrote /Users/anthonymccrovitz/march-madness/overlay/src/data/customer_feed.json — 18 picks for 2026-05-26 (nba=1, mlb=17)
wrote /Users/anthonymccrovitz/march-madness/overlay/src/data/customer_feed.json — 18 picks for 2026-05-26 (nba=1, mlb=17)
wrote /Users/anthonymccrovitz/march-madness/overlay/src/data/customer_feed.json — 18 picks for 2026-05-26 (nba=1, mlb=17)
wrote /Users/anthonymccrovitz/march-madness/overlay/src/data/customer_feed.json — 18 picks for 2026-05-26 (nba=1, mlb=17)
wrote /Users/anthonymccrovitz/march-madness/overlay/src/data/customer_feed.json — 18 picks for 2026-05-26 (nba=1, mlb=17)
wrote /Users/anthonymccrovitz/march-madness/overlay/src/data/customer_feed.json — 18 picks for 2026-05-26 (nba=1, mlb=17)
wrote /Users/anthonymccrovitz/march-madness/overlay/src/data/customer_feed.json — 13 picks for 2026-05-26 (nba=1, mlb=12)
wrote /Users/anthonymccrovitz/march-madness/overlay/src/data/customer_feed.json — 15 picks for 2026-05-26 (nba=1, mlb=14)
wrote /Users/anthonymccrovitz/march-madness/overlay/src/data/customer_feed.json — 17 picks for 2026-05-26 (nba=1, mlb=13, nhl=2, soccer=1)
wrote /Users/anthonymccrovitz/march-madness/overlay/src/data/customer_feed.json — 17 picks for 2026-05-26 (nba=1, mlb=13, nhl=2, soccer=1)
wrote /Users/anthonymccrovitz/march-madness/overlay/src/data/customer_feed.json — 16 picks for 2026-05-26 (nba=1, mlb=13, nhl=2)
