TeamID,SeedNum,Region,R64,R32,S16,E8,F4,Championship,AvgRound,TeamName
1181,1,W,0.9321,0.7951,0.5888,0.4397,0.2926,0.2096,4.2579,Duke
1196,1,X,0.9408,0.7575,0.5667,0.3267,0.1744,0.1152,3.8813,Florida
1222,2,X,0.9365,0.7437,0.4977,0.2999,0.1758,0.1144,3.768,Houston
1112,1,Z,0.939,0.7332,0.5702,0.3979,0.237,0.1117,3.989,Arizona
1276,1,Y,0.9233,0.7473,0.5235,0.3376,0.2082,0.0951,3.835,Michigan
1235,2,Y,0.8407,0.5762,0.3819,0.2005,0.1147,0.0473,3.1613,Iowa St
1228,3,X,0.87,0.6898,0.3236,0.1817,0.0881,0.0468,3.2,Illinois
1345,2,Z,0.8954,0.7073,0.41,0.2063,0.1045,0.0412,3.3647,Purdue
1277,3,W,0.9023,0.6112,0.367,0.1571,0.0651,0.0347,3.1374,Michigan St
1163,2,W,0.893,0.625,0.3457,0.1343,0.0626,0.0312,3.0918,Connecticut
1211,3,Z,0.8822,0.6507,0.3525,0.1669,0.0778,0.0285,3.1586,Gonzaga
1397,6,Y,0.7151,0.4207,0.2412,0.1097,0.0517,0.0197,2.5581,Tennessee
1385,5,W,0.8454,0.4746,0.1989,0.1026,0.0353,0.0159,2.6727,St. John's
1438,3,Y,0.8708,0.449,0.1858,0.0882,0.0348,0.0097,2.6383,Virginia
1403,5,Y,0.7828,0.4163,0.1708,0.0806,0.0299,0.0079,2.4883,Texas Tech
1104,4,Y,0.8439,0.4981,0.2,0.0913,0.0339,0.0074,2.6746,Alabama
1116,4,Z,0.8634,0.5076,0.1626,0.0659,0.0263,0.0071,2.6329,Arkansas
1435,5,X,0.7509,0.4308,0.1496,0.0533,0.0185,0.0067,2.4098,Vanderbilt
1242,4,W,0.8589,0.463,0.1337,0.055,0.0194,0.0062,2.5362,Kansas
1458,5,Z,0.7876,0.4131,0.1338,0.0538,0.0208,0.0058,2.4149,Wisconsin
1257,6,W,0.7475,0.2956,0.1392,0.0438,0.0141,0.0054,2.2456,Louisville
1140,6,Z,0.6896,0.2495,0.138,0.0467,0.0166,0.0049,2.1453,BYU
1304,4,X,0.7843,0.4307,0.1533,0.047,0.0151,0.0048,2.4352,Nebraska
1388,7,X,0.7765,0.2058,0.0926,0.0362,0.0119,0.0047,2.1277,Saint Mary's
1246,7,Y,0.6435,0.2515,0.0933,0.036,0.0129,0.0036,2.0408,Kentucky
1417,7,W,0.709,0.2741,0.0974,0.0307,0.0076,0.0028,2.1216,UCLA
1429,9,Z,0.4944,0.1304,0.0607,0.019,0.0058,0.0016,1.7119,Utah St
1234,9,X,0.5574,0.1314,0.0635,0.0171,0.0049,0.0014,1.7757,Iowa
1208,8,Y,0.5931,0.1671,0.0614,0.0218,0.0063,0.0014,1.8511,Georgia
