Year,Accuracy,LogLoss,Games,TrainSize,Models
2010,0.65625,0.5812993037671615,64,448,5
2011,0.6567164179104478,0.6220839220886493,67,512,5
2012,0.746268656716418,0.546898736191093,67,579,5
2013,0.6865671641791045,0.5732114551270785,67,646,5
2014,0.7014925373134329,0.5960535736380302,67,713,5
2015,0.8507462686567164,0.485098652524547,67,780,5
2016,0.7611940298507462,0.537555391076692,67,847,5
2017,0.7910447761194029,0.47613487208413,67,914,5
2018,0.6716417910447762,0.6072936904443202,67,981,5
2019,0.7164179104477612,0.5002380539181233,67,1048,5
2021,0.696969696969697,0.5890150715172019,66,1115,5
2022,0.6865671641791045,0.6221791998728317,67,1181,5
2023,0.6865671641791045,0.5989246566481656,67,1248,5
2024,0.746268656716418,0.5327354462784024,67,1315,5
2025,0.835820895522388,0.4545268348283302,67,1382,5
