round,region,team_a,team_b,seed_a,seed_b,win_prob_a,winner,confidence
1,W,Duke,Siena,1,16,0.933,Duke,0.433
1,W,Ohio St,TCU,8,9,0.685,Ohio St,0.185
1,W,St. John's,Northern Iowa,5,12,0.845,St. John's,0.345
1,W,Kansas,Cal Baptist,4,13,0.859,Kansas,0.359
1,W,Louisville,South Florida,6,11,0.739,Louisville,0.239
1,W,Michigan St,N Dakota St,3,14,0.903,Michigan St,0.403
1,W,UCLA,UCF,7,10,0.708,UCLA,0.208
1,W,Connecticut,Furman,2,15,0.894,Connecticut,0.394
1,X,Florida,Prairie View,1,16,0.939,Florida,0.439
1,X,Clemson,Iowa,8,9,0.439,Iowa,0.061
1,X,Vanderbilt,McNeese,5,12,0.753,Vanderbilt,0.253
1,X,Nebraska,Troy,4,13,0.786,Nebraska,0.286
1,X,North Carolina,VCU,6,11,0.602,North Carolina,0.102
1,X,Illinois,Penn,3,14,0.869,Illinois,0.369
1,X,Saint Mary's,Texas A&M,7,10,0.78,Saint Mary's,0.28
1,X,Houston,Idaho,2,15,0.934,Houston,0.434
1,Y,Michigan,UMBC,1,16,0.929,Michigan,0.429
1,Y,Georgia,St Louis,8,9,0.585,Georgia,0.085
1,Y,Texas Tech,Akron,5,12,0.782,Texas Tech,0.282
1,Y,Alabama,Hofstra,4,13,0.843,Alabama,0.343
1,Y,Tennessee,SMU,6,11,0.714,Tennessee,0.214
1,Y,Virginia,Wright St,3,14,0.869,Virginia,0.369
1,Y,Kentucky,Santa Clara,7,10,0.638,Kentucky,0.138
1,Y,Iowa St,Tennessee St,2,15,0.838,Iowa St,0.338
1,Z,Arizona,LIU Brooklyn,1,16,0.937,Arizona,0.437
1,Z,Villanova,Utah St,8,9,0.5,Utah St,0.0
1,Z,Wisconsin,High Point,5,12,0.792,Wisconsin,0.292
1,Z,Arkansas,Hawaii,4,13,0.862,Arkansas,0.362
1,Z,BYU,Texas,6,11,0.69,BYU,0.19
1,Z,Gonzaga,Kennesaw,3,14,0.882,Gonzaga,0.382
1,Z,Miami FL,Missouri,7,10,0.661,Miami FL,0.161
1,Z,Purdue,Queens NC,2,15,0.899,Purdue,0.399
2,W,Duke,Ohio St,1,8,0.858,Duke,0.358
2,W,Kansas,St. John's,4,5,0.486,St. John's,0.014
2,W,Michigan St,Louisville,3,6,0.658,Michigan St,0.158
2,W,Connecticut,UCLA,2,7,0.677,Connecticut,0.177
2,X,Florida,Iowa,1,9,0.804,Florida,0.304
2,X,Nebraska,Vanderbilt,4,5,0.484,Vanderbilt,0.016
2,X,Illinois,North Carolina,3,6,0.772,Illinois,0.272
2,X,Houston,Saint Mary's,2,7,0.774,Houston,0.274
2,Y,Michigan,Georgia,1,8,0.763,Michigan,0.263
2,Y,Alabama,Texas Tech,4,5,0.523,Alabama,0.023
2,Y,Virginia,Tennessee,3,6,0.46,Tennessee,0.04
2,Y,Iowa St,Kentucky,2,7,0.703,Iowa St,0.203
2,Z,Arizona,Utah St,1,9,0.78,Arizona,0.28
2,Z,Arkansas,Wisconsin,4,5,0.538,Arkansas,0.038
2,Z,Gonzaga,BYU,3,6,0.694,Gonzaga,0.194
2,Z,Purdue,Miami FL,2,7,0.78,Purdue,0.28
3,W,Duke,St. John's,1,5,0.656,Duke,0.156
3,W,Connecticut,Michigan St,2,3,0.49,Michigan St,0.01
3,X,Florida,Vanderbilt,1,5,0.763,Florida,0.263
3,X,Houston,Illinois,2,3,0.596,Houston,0.096
3,Y,Michigan,Alabama,1,4,0.677,Michigan,0.177
3,Y,Iowa St,Tennessee,2,6,0.57,Iowa St,0.07
3,Z,Arizona,Arkansas,1,4,0.778,Arizona,0.278
3,Z,Purdue,Gonzaga,2,3,0.557,Purdue,0.057
4,W,Duke,Michigan St,1,3,0.701,Duke,0.201
4,X,Florida,Houston,1,2,0.501,Florida,0.001
4,Y,Michigan,Iowa St,1,2,0.612,Michigan,0.112
4,Z,Arizona,Purdue,1,2,0.637,Arizona,0.137
5,FF,Duke,Florida,1,1,0.696,Duke,0.196
5,FF,Michigan,Arizona,1,1,0.625,Michigan,0.125
6,FF,Duke,Michigan,1,1,0.662,Duke,0.162
