season,game_id,date,away_team,home_team,actual_away,actual_home,actual_total,actual_home_margin,proj_away,proj_home,proj_total,proj_home_margin,proj_home_winprob,ml_pick,ml_actual
2024-25,0022400062,2024-10-22,Minnesota Timberwolves,Los Angeles Lakers,103,110,213,7,113.0,116.7,229.7,1.3,0.5443,True,True
2024-25,0022400061,2024-10-22,New York Knicks,Boston Celtics,109,132,241,23,114.1,117.2,231.3,5.4,0.6745,True,True
2024-25,0022400067,2024-10-23,Cleveland Cavaliers,Toronto Raptors,136,106,242,-30,118.9,115.8,234.7,-2.9,0.4032,False,False
2024-25,0022400064,2024-10-23,Brooklyn Nets,Atlanta Hawks,116,120,236,4,110.2,116.3,226.6,5.8,0.6853,True,True
2024-25,0022400072,2024-10-23,Golden State Warriors,Portland Trail Blazers,140,104,244,-36,113.6,115.8,229.4,0.3,0.5115,True,False
2024-25,0022400063,2024-10-23,Indiana Pacers,Detroit Pistons,115,109,224,-6,116.0,118.2,234.3,3.0,0.5987,True,False
2024-25,0022400069,2024-10-23,Chicago Bulls,New Orleans Pelicans,111,123,234,12,113.4,116.0,229.3,-0.5,0.4831,False,True
2024-25,0022400070,2024-10-23,Memphis Grizzlies,Utah Jazz,126,124,250,-2,116.3,117.8,234.2,-3.2,0.3945,False,False
2024-25,0022400071,2024-10-23,Phoenix Suns,LA Clippers,116,113,229,-3,114.3,113.8,228.0,6.6,0.7076,True,False
2024-25,0022400065,2024-10-23,Orlando Magic,Miami Heat,116,97,213,-19,108.2,114.3,222.5,3.3,0.6074,True,False
2024-25,0022400066,2024-10-23,Milwaukee Bucks,Philadelphia 76ers,124,109,233,-15,112.2,114.6,226.9,-0.9,0.4696,False,False
2024-25,0022400068,2024-10-23,Charlotte Hornets,Houston Rockets,110,105,215,-5,109.6,115.3,224.9,9.1,0.7764,True,False
2024-25,0022400076,2024-10-24,Minnesota Timberwolves,Sacramento Kings,117,115,232,-2,112.7,117.6,230.3,1.1,0.5354,True,False
2024-25,0022400073,2024-10-24,Boston Celtics,Washington Wizards,122,102,224,-20,114.8,112.8,227.5,-6.7,0.2877,False,False
2024-25,0022400075,2024-10-24,Oklahoma City Thunder,Denver Nuggets,102,87,189,-15,117.6,123.8,241.4,-1.0,0.4681,False,False
2024-25,0022400074,2024-10-24,San Antonio Spurs,Dallas Mavericks,109,120,229,11,113.4,116.0,229.5,3.7,0.6203,True,True
2024-25,0022400077,2024-10-25,Brooklyn Nets,Orlando Magic,101,116,217,15,108.6,109.6,218.3,6.2,0.6972,True,True
2024-25,0022400084,2024-10-25,Golden State Warriors,Utah Jazz,127,86,213,-41,112.1,116.0,228.1,-2.6,0.4149,False,False
2024-25,0022400085,2024-10-25,Phoenix Suns,Los Angeles Lakers,116,123,239,7,112.6,114.2,226.8,4.9,0.6582,True,True
2024-25,0022400082,2024-10-25,Memphis Grizzlies,Houston Rockets,108,128,236,20,119.0,119.7,238.7,3.0,0.5987,True,True
2024-25,0022400081,2024-10-25,Indiana Pacers,New York Knicks,98,123,221,25,114.2,118.3,232.5,3.9,0.626,True,True
2024-25,0022400078,2024-10-25,Philadelphia 76ers,Toronto Raptors,107,115,222,8,111.7,112.4,224.0,4.0,0.6317,True,True
2024-25,0022400086,2024-10-25,New Orleans Pelicans,Portland Trail Blazers,105,103,208,-2,111.1,112.8,223.9,6.0,0.6919,True,False
2024-25,0022400083,2024-10-25,Chicago Bulls,Milwaukee Bucks,133,122,255,-11,116.1,119.4,235.4,4.8,0.6554,True,False
2024-25,0022400079,2024-10-25,Charlotte Hornets,Atlanta Hawks,120,125,245,5,110.2,117.1,227.3,6.6,0.7076,True,True
2024-25,0022400080,2024-10-25,Detroit Pistons,Cleveland Cavaliers,101,113,214,12,115.6,122.1,237.7,6.2,0.6972,True,True
2024-25,0022400090,2024-10-26,Cleveland Cavaliers,Washington Wizards,135,116,251,-19,117.8,114.1,232.0,-6.6,0.2903,False,False
2024-25,0022400089,2024-10-26,Boston Celtics,Detroit Pistons,124,118,242,-6,116.0,117.1,233.1,-0.3,0.4905,False,False
2024-25,0022400094,2024-10-26,Houston Rockets,San Antonio Spurs,106,109,215,3,113.1,117.7,230.8,-0.3,0.489,False,True
2024-25,0022400093,2024-10-26,Toronto Raptors,Minnesota Timberwolves,101,112,213,11,111.8,117.4,229.2,7.0,0.7203,True,True
2024-25,0022400088,2024-10-26,Miami Heat,Charlotte Hornets,114,106,220,-8,109.7,110.8,220.5,-1.2,0.4592,False,False
2024-25,0022400091,2024-10-26,Oklahoma City Thunder,Chicago Bulls,114,95,209,-19,119.4,122.1,241.5,-3.4,0.3888,False,False
2024-25,0022400087,2024-10-26,LA Clippers,Denver Nuggets,109,104,213,-5,113.1,121.1,234.3,2.5,0.5827,True,False
2024-25,0022400092,2024-10-26,Orlando Magic,Memphis Grizzlies,111,124,235,13,111.6,121.0,232.6,5.2,0.6664,True,True
2024-25,0022400096,2024-10-26,Sacramento Kings,Los Angeles Lakers,127,131,258,4,113.6,115.5,229.1,3.3,0.6074,True,True
2024-25,0022400095,2024-10-26,Dallas Mavericks,Phoenix Suns,102,114,216,12,111.5,116.1,227.6,2.2,0.5739,True,True
2024-25,0022400101,2024-10-27,LA Clippers,Golden State Warriors,112,104,216,-8,114.0,117.6,231.6,2.2,0.5739,True,False
2024-25,0022400097,2024-10-27,Philadelphia 76ers,Indiana Pacers,118,114,232,-4,111.9,115.9,227.7,6.8,0.714,True,False
2024-25,0022400099,2024-10-27,New Orleans Pelicans,Portland Trail Blazers,103,125,228,22,111.1,112.8,223.9,6.0,0.6919,True,True
2024-25,0022400098,2024-10-27,Milwaukee Bucks,Brooklyn Nets,102,115,217,13,112.2,112.1,224.3,-1.4,0.4547,False,True
2024-25,0022400100,2024-10-27,Atlanta Hawks,Oklahoma City Thunder,104,128,232,24,119.3,122.3,241.6,9.2,0.7775,True,True
2024-25,0022400108,2024-10-28,Chicago Bulls,Memphis Grizzlies,126,123,249,-3,118.2,122.8,241.1,5.8,0.6853,True,False
2024-25,0022400109,2024-10-28,Houston Rockets,San Antonio Spurs,106,101,207,-5,113.1,117.7,230.8,-0.3,0.489,False,False
2024-25,0022400112,2024-10-28,Portland Trail Blazers,Sacramento Kings,98,111,209,13,110.8,117.3,228.1,4.5,0.6457,True,True
2024-25,0022400106,2024-10-28,Cleveland Cavaliers,New York Knicks,110,104,214,-6,117.3,118.7,235.9,0.7,0.5219,True,False
2024-25,0022400110,2024-10-28,Utah Jazz,Dallas Mavericks,102,110,212,8,111.9,115.2,227.1,6.6,0.7076,True,True
2024-25,0022400111,2024-10-28,Los Angeles Lakers,Phoenix Suns,105,109,214,4,111.2,115.6,226.8,1.1,0.5368,True,True
2024-25,0022400107,2024-10-28,Denver Nuggets,Toronto Raptors,127,125,252,-2,117.9,114.6,232.5,-0.5,0.4831,False,False
2024-25,0022400102,2024-10-28,Indiana Pacers,Orlando Magic,115,119,234,4,115.2,112.7,227.9,2.0,0.565,True,True
2024-25,0022400105,2024-10-28,Detroit Pistons,Miami Heat,98,106,204,8,113.6,115.1,228.8,2.2,0.5739,True,True
2024-25,0022400104,2024-10-28,Milwaukee Bucks,Boston Celtics,108,119,227,11,114.2,118.8,233.0,6.2,0.6958,True,True
2024-25,0022400103,2024-10-28,Washington Wizards,Atlanta Hawks,121,119,240,-2,111.6,118.2,229.8,8.0,0.7474,True,False
2024-25,0022400113,2024-10-29,Denver Nuggets,Brooklyn Nets,144,139,283,-5,114.9,111.6,226.5,-2.0,0.434,False,False
2024-25,0022400115,2024-10-29,Sacramento Kings,Utah Jazz,113,96,209,-17,112.8,114.1,226.9,-1.4,0.4532,False,False
2024-25,0022400116,2024-10-29,New Orleans Pelicans,Golden State Warriors,106,124,230,18,112.1,114.6,226.7,8.7,0.765,True,True
2024-25,0022400114,2024-10-29,Dallas Mavericks,Minnesota Timberwolves,120,114,234,-6,114.0,116.5,230.5,5.8,0.6853,True,False
2024-25,0022400123,2024-10-30,Orlando Magic,Chicago Bulls,99,102,201,3,110.7,118.5,229.2,2.4,0.5783,True,True
2024-25,0022400122,2024-10-30,New York Knicks,Miami Heat,116,107,223,-9,113.7,113.3,227.0,1.4,0.5458,True,False
2024-25,0022400117,2024-10-30,Toronto Raptors,Charlotte Hornets,133,138,271,5,110.0,112.1,222.2,0.8,0.5249,True,True
2024-25,0022400119,2024-10-30,Boston Celtics,Indiana Pacers,132,135,267,3,116.0,117.9,233.9,-0.3,0.4905,False,True
2024-25,0022400120,2024-10-30,Detroit Pistons,Philadelphia 76ers,105,95,200,-10,112.1,114.9,227.0,-0.8,0.4741,False,False
2024-25,0022400127,2024-10-30,Portland Trail Blazers,LA Clippers,106,105,211,-1,112.8,116.0,228.8,6.4,0.7037,True,False
2024-25,0022400121,2024-10-30,Atlanta Hawks,Washington Wizards,120,133,253,13,115.2,114.6,229.8,-2.0,0.434,False,True
2024-25,0022400125,2024-10-30,San Antonio Spurs,Oklahoma City Thunder,93,105,198,12,117.2,119.8,237.0,9.9,0.796,True,True
2024-25,0022400124,2024-10-30,Brooklyn Nets,Memphis Grizzlies,119,106,225,-13,111.3,118.6,229.9,8.4,0.7569,True,False
2024-25,0022400126,2024-10-30,New Orleans Pelicans,Golden State Warriors,89,104,193,15,112.1,114.6,226.7,8.7,0.765,True,True
2024-25,0022400118,2024-10-30,Los Angeles Lakers,Cleveland Cavaliers,110,134,244,24,114.7,120.5,235.2,6.6,0.7088,True,True
2024-25,0022400128,2024-10-31,Milwaukee Bucks,Memphis Grizzlies,99,122,221,23,117.3,121.5,238.8,4.0,0.6302,True,True
2024-25,0022400129,2024-10-31,Houston Rockets,Dallas Mavericks,108,102,210,-6,113.7,117.8,231.5,0.3,0.5115,True,False
2024-25,0022400131,2024-10-31,Phoenix Suns,LA Clippers,125,119,244,-6,114.3,113.8,228.0,6.6,0.7076,True,False
2024-25,0022400130,2024-10-31,San Antonio Spurs,Utah Jazz,106,88,194,-18,112.1,114.3,226.4,0.1,0.504,True,False
2024-25,0022400139,2024-11-01,Denver Nuggets,Minnesota Timberwolves,116,119,235,3,117.4,116.8,234.2,3.5,0.6146,True,True
